baker,series,episode,source,baker_age,baker_occupation,hometown,signature_bake,show_stopper,technical,result
"""Jo""",2,1,bakes,NA,NA,NA,Chocolate Orange CupcakesOrange and Cardamom Cupcakes,Chocolate and Strawberry Cake,NA,NA
"""Jo""",2,2,bakes,NA,NA,NA,"Caramelised Onion, Gruyere and Thyme Quiche",Raspberry and Mascarpone Tarts with Lemon and Almond PastryHoney and Almond Tarts with Sweetcrust,NA,NA
"""Jo""",2,3,bakes,NA,NA,NA,"Stromboli flavored with Mozzarella, Ham, and Picante Pepper",Unknown,NA,NA
"""Jo""",2,4,bakes,NA,NA,NA,Lavender Biscuits,Blueberry MacaronsCoconut MacaronsStrawberry Macarons,NA,NA
"""Jo""",2,5,bakes,NA,NA,NA,Salmon and Asparagus Pie,Apple and Raspberry Meringue Pie,NA,NA
"""Jo""",2,6,bakes,NA,NA,NA,Rum and Raisin Baked Cheesecake,Limoncello and White Chocolate Croquembouche,NA,NA
"""Jo""",2,7,bakes,NA,NA,NA,Raspberry & Strawberry Mousse Cake,Pain Aux RaisinChocolate TwistsBanana and Raisin Pastries,NA,NA
"""Jo""",2,8,bakes,NA,NA,NA,Raspberry and Blueberry Mille Feuille,"Mini Victoria SandwichesRaspberry, White Chocolate and Pistachio Mini MeringuesMini Banoffee Pie with Banana Mousse",NA,NA
Ali,4,1,bakes,NA,NA,NA,Rose and Pistachio Cake,"Chocolate, Raspberry and Passion Fruit Engagement Cake",11,IN
Ali,4,2,bakes,NA,NA,NA,Italian Grissini,Sweet and Savoury Yin Yang Bread,9,IN
Ali,4,3,bakes,NA,NA,NA,"Coconut, Raspberry and Lemon Meringue Trifle",Vanilla Latte Mini CakesLime & Mint Shortbread Pops,5,IN
Ali,4,4,bakes,NA,NA,NA,Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry,"Orange, Cardamom and Date M'Hanncha",8,OUT
Ali,4,5,NA,NA,NA,NA,NA,NA,NA,NA
Ali,4,6,NA,NA,NA,NA,NA,NA,NA,NA
Ali,4,7,NA,NA,NA,NA,NA,NA,NA,NA
Ali,4,8,NA,NA,NA,NA,NA,NA,NA,NA
Ali,4,9,NA,NA,NA,NA,NA,NA,NA,NA
Ali,4,10,NA,NA,NA,NA,NA,NA,NA,NA
Ali,4,NA,bakers,25,Charity worker,"Saltley, Birmingham",NA,NA,NA,NA
Alice,10,1,NA,NA,NA,NA,NA,NA,5,IN
Alice,10,2,NA,NA,NA,NA,NA,NA,1,STAR BAKER
Alice,10,3,NA,NA,NA,NA,NA,NA,7,IN
Alice,10,4,NA,NA,NA,NA,NA,NA,8,IN
Alice,10,5,NA,NA,NA,NA,NA,NA,6,IN
Alice,10,6,NA,NA,NA,NA,NA,NA,1,IN
Alice,10,7,NA,NA,NA,NA,NA,NA,6,IN
Alice,10,8,NA,NA,NA,NA,NA,NA,3,IN
Alice,10,9,NA,NA,NA,NA,NA,NA,4,STAR BAKER
Alice,10,10,NA,NA,NA,NA,NA,NA,2,Runner-up
Alice,10,NA,bakers,28,Geography teacher,Essex,NA,NA,NA,NA
Alvin,6,1,bakes,NA,NA,NA,Orange Vanilla and Fig Madeira Cake,Black Forest Gâteau,2,IN
Alvin,6,2,bakes,NA,NA,NA,"Jackfruit, Pistachio and Macadamia Biscotti",Gingerbread Box filled with Brandy Snaps,6,IN
